ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
487044011,Photo,Kea,Nestor notabilis,,Knut Hansen,2010-10-11,2010,10,11,1455,New Zealand,NZ-WTC-057,West Coast,Westland District,"Arthur's Pass NP--Otira Valley Track",-42.8981510,171.5439015,"",,Unspecified,"","",,,,,,,S119342791,"",,,,,Nestor notabilis,kea1,Species,,,5.00,1,,3168,4752
487043831,Photo,Kea,Nestor notabilis,,Knut Hansen,2010-10-11,2010,10,11,1415,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"Arthur's Pass--Klondyke Corner camping area",-43.0019167,171.5892363,"",,Unspecified,"","",,,,,,,S119342769,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,3168,4752
486278921,Photo,Kea,Nestor notabilis,,Chris Herbert,2007-09-01,2007,9,1,1200,New Zealand,NZ-STL,Southland,,Fiordland NP--Milford Sound (General),-44.6669090,167.9153440,"",,Unspecified,"","",,,,,,,S119124257,"",,,,on the way to Milford Sound. Stopped in the carpark viewing platform and this bird came to us,Nestor notabilis,kea1,Species,,,.00,0,,681,741
485601291,Photo,Kea,Nestor notabilis,,Chase McCabe,2017-10-26,2017,10,26,1215,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,"",,Unspecified,"","",,,,,,,S78438218,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,1181,1862
485186581,Photo,Kea,Nestor notabilis,,Ulises Cabrera Miranda,2022-09-18,2022,9,18,1437,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Monkey Creek,-44.8003676,168.0215979,"",,Unspecified,"","",,,,,,,S118940318,"",,,,,Nestor notabilis,kea1,Species,,,4.33,3,,4000,6000
485186091,Photo,Kea,Nestor notabilis,,Ulises Cabrera Miranda,2022-09-18,2022,9,18,1447,New Zealand,NZ-STL-073,Southland,Southland District,Hollyford Valley Lookout,-44.8091940,168.1059280,"",,Unspecified,"","",,,,,,,S118940306,"",,,,,Nestor notabilis,kea1,Species,,,4.00,1,,4000,6000
478828211,Photo,Kea,Nestor notabilis,,Betsy Miller,2011-11-12,2011,11,12,0,New Zealand,NZ-STL-073,Southland,Southland District,Fiordland NP--Homer Tunnel W Entrance,-44.7626487,167.9729896,"",,Unspecified,"","",,,,,,,S117663274,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,640,960
478412181,Photo,Kea,Nestor notabilis,,Noah Isakov,2015-04-17,2015,4,17,1100,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"Arthur's Pass NP--Dobson's Nature Trail",-42.9067350,171.5564623,"",,Unspecified,"","",,,,,,,S117575450,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,1905,3387
478412161,Photo,Kea,Nestor notabilis,,Noah Isakov,2015-04-17,2015,4,17,1100,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"Arthur's Pass NP--Dobson's Nature Trail",-42.9067350,171.5564623,"",,Unspecified,"","",,,,,,,S117575450,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,1529,2718
478412171,Photo,Kea,Nestor notabilis,,Noah Isakov,2015-04-17,2015,4,17,1100,New Zealand,NZ-CAN-062,Canterbury,Selwyn District,"Arthur's Pass NP--Dobson's Nature Trail",-42.9067350,171.5564623,"",,Unspecified,"","",,,,,,,S117575450,"",,,,,Nestor notabilis,kea1,Species,,,.00,0,,1807,3212
